,a49,a51,a12,a101,a10,a18,a17,a46,a38,a34,a5,a28,a43,a42,a11,a13,a20,a83,a47,a8,a16,a30,a45,a7,a14,a55,a60
ROST,-0.011217660477986514,-0.0,-3.0020043956102715e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.533546456929296e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.2901503619227378e-05,0.0,-0.0,-0.0
KDP,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-6.912428195686432e-05,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-9.553586552685395e-05,-0.0,-0.0,-0.0
EA,-0.009361589287798877,-0.0,-9.457800303068217e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,8.334696472889287e-07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.8964280287982204e-05,-0.0,-5.990472045512996e-06,0.0,-0.0,-0.0
ALGN,-0.0034351366672138724,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.9681729980114183e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-3.1543214232562184e-05,0.0,0.0,0.0
ADI,-0.00973494777420498,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-9.481279954875042e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1734808105502046e-06,0.0,-6.3174431727295835e-06,-0.0,0.0,-0.0
IDXX,-0.0029759231618985875,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-3.843237254991319e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.943472181933136e-05,-0.0,-0.0,0.0
DXCM,-0.0100799731711519,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-9.286208666765055e-05,-0.00024468192940730514,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.00022975288010844406,-0.0,-0.0,-0.0
XEL,-0.0157535804331409,-1.2643254373018004e-17,-0.0,0.000564392906822057,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-9.334852804448598e-06,-7.952628964630494e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.2325805439764097e-05,0.0,-0.0,-0.0
CTAS,-0.0040437592014886435,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.1006968808175569e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-3.0511202794283756e-05,-0.0,-0.0,0.0
EXC,-0.03613385343777145,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,2.3129344076819e-06,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,8.492200182840044e-06,0.0,-0.0,0.0
MAR,-0.009856299452795016,0.0,-0.00010790705673903118,-0.0,0.0,0.0,0.0,-0.0002112206366217653,0.0,0.0,-0.0,0.0,8.619650334188179e-06,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,7.314194310741378e-08,0.0,1.875782836234934e-05,-0.0,0.0,-0.0
SNPS,-0.005602288934772215,-4.025887679641344e-19,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.6416975041146248e-05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-5.361706221384676e-05,-0.0,0.0,0.0
CDNS,-0.011312947402417358,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-3.209170666192197e-05,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-5.9630580339254724e-05,-0.0,-0.0,-0.0
CPRT,-0.04606945671839458,-6.22291158719608e-17,-0.0,0.004639513373351706,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.4873541329398692e-05,6.04914074763868e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-4.342232769912544e-05,-0.0,0.0,-0.0
